base_x,base_y,base_z,class_name,elev_deg,j1_max_deg,j1_mean_deg,j1_min_deg,plan_s_mean,pred_j1_deg,reason,success,travel_mean_deg,travel_sd_deg,trials
0.256,0.0812,0.3384,ripe,15.0,166.8,88.6,47.5,0.032,26.8,ok,12,633.0,86.0,12
0.2512,0.0437,0.3612,ripe,15.0,152.3,74.0,44.0,0.03,29.5,ok,12,602.0,70.0,12
0.2536,0.0278,0.2242,ripe,0.0,150.9,95.9,41.6,0.033,30.3,ok,12,660.0,118.0,12
0.2518,-0.0219,0.2236,ripe,-5.0,133.6,59.8,29.8,0.029,30.7,ok,12,652.0,104.0,12
0.2692,0.029,0.2982,disease,10.0,150.3,56.8,33.6,0.031,26.8,ok,12,633.0,63.0,12
0.267,-0.0678,0.2612,ripe,5.0,134.8,64.9,13.5,0.027,26.2,ok,12,661.0,84.0,12
0.2452,0.0869,0.2723,ripe,5.0,163.2,108.5,54.2,0.03,29.1,ok,12,689.0,95.0,12
0.2479,-0.0165,0.1691,ripe,-10.0,140.5,103.5,40.5,0.035,31.5,ok,12,542.0,113.0,12
0.2613,0.0268,0.2645,ripe,5.0,150.2,104.2,40.8,0.028,28.6,ok,12,676.0,90.0,12
0.2682,-0.0244,0.3459,ripe,15.0,31.6,27.1,22.4,0.027,26.7,ok,12,573.0,53.0,12
0.2507,0.0669,0.3041,ripe,10.0,158.1,103.6,48.8,0.026,29.0,ok,12,648.0,97.0,12
0.285,-0.0666,0.3,disease,10.0,17.2,13.3,10.9,0.03,23.4,ok,12,604.0,46.0,12
0.2663,-0.0191,0.3061,disease,10.0,143.2,66.7,25.6,0.028,27.5,ok,12,610.0,48.0,12
0.2584,0.0823,0.2172,disease,-5.0,161.0,69.3,47.4,0.034,26.9,ok,12,682.0,75.0,12
0.2495,-0.0585,0.1607,disease,-10.0,133.6,70.8,22.5,0.039,29.7,ok,12,466.0,107.0,12
