scene,pose,class_name,base_x,base_y,base_z,trials,success,travel_min,travel_median,j1_min,j1_median
full,look,ripe,0.256,0.0812,0.3384,30,26,396.8357259851549,506.12560853203354,46.57285371903615,51.341510668703364
full,look,ripe,0.2512,0.0437,0.3612,30,27,398.5819083238351,468.80161285013145,44.19586946144713,52.19345059347843
full,look,ripe,0.2536,0.0278,0.2242,30,0,,,,
full,look,ripe,0.2518,-0.0219,0.2236,30,27,424.7786010043031,605.9511674812181,32.65424307136222,44.31777867401651
full,look,disease,0.2692,0.029,0.2982,30,24,423.4519084733279,562.1855815705928,36.35328787097461,42.66569218920746
full,look,ripe,0.267,-0.0678,0.2612,30,20,403.1046890855951,556.5485514897894,16.681217099554768,25.301138907286443
full,look,ripe,0.2452,0.0869,0.2723,30,29,421.2954723375194,499.9412197016574,53.897988964314216,64.093925552516
full,look,ripe,0.2479,-0.0165,0.1691,30,0,,,,
full,look,ripe,0.2613,0.0268,0.2645,30,28,448.0844276454748,562.2132411169165,39.52489480172069,49.06866898580466
full,look,ripe,0.2682,-0.0244,0.3459,30,21,385.9342768355954,533.5844150211251,24.97312734384676,30.410615909414307
full,look,ripe,0.2507,0.0669,0.3041,30,26,373.51164521533696,528.2843717836245,47.79867038618518,55.00508990664135
full,look,disease,0.285,-0.0666,0.3,30,15,444.7084802222357,544.8425984831802,12.124089301264844,132.0519758511399
full,look,disease,0.2663,-0.0191,0.3061,30,27,383.05502468229184,448.6272874856467,28.346859440418065,35.22400382855387
full,look,disease,0.2584,0.0823,0.2172,30,11,456.9091433135387,648.4031331387528,48.05092241760125,51.58860906586069
full,look,disease,0.2495,-0.0585,0.1607,30,12,550.7489713763642,589.4146205322684,24.713069831295307,29.49981538482561
full,armed,ripe,0.256,0.0812,0.3384,30,28,344.9737223185901,521.1786817036129,47.04202203297976,52.08668935725707
full,armed,ripe,0.2512,0.0437,0.3612,30,27,339.0232125547267,452.7042229894932,46.26045010601496,55.17960235117275
full,armed,ripe,0.2536,0.0278,0.2242,30,0,,,,
full,armed,ripe,0.2518,-0.0219,0.2236,30,26,381.47059425507507,491.728162162495,33.96589082223714,44.90644847380409
full,armed,disease,0.2692,0.029,0.2982,30,26,317.8986384886452,511.8737969731376,37.69136068297095,43.478855996237954
full,armed,ripe,0.267,-0.0678,0.2612,30,23,381.29222444758454,574.3832958776162,16.502292721375714,24.468087116661142
full,armed,ripe,0.2452,0.0869,0.2723,30,30,361.416252511827,481.34994283392416,54.53364905886068,62.132906657824996
full,armed,ripe,0.2479,-0.0165,0.1691,30,0,,,,
full,armed,ripe,0.2613,0.0268,0.2645,30,28,359.672112133162,504.04911570025405,39.95972560884047,46.272378053664134
full,armed,ripe,0.2682,-0.0244,0.3459,30,21,345.70135756042896,469.9460272450746,24.974012027310142,36.234293628042
full,armed,ripe,0.2507,0.0669,0.3041,30,30,357.44902234226254,470.13801062035066,49.47966457534811,54.737327240610725
full,armed,disease,0.285,-0.0666,0.3,30,17,347.6361921397497,470.4120467658437,11.571445840446373,133.34722245201445
full,armed,disease,0.2663,-0.0191,0.3061,30,27,342.650382395714,496.5010535856388,28.916465717282843,35.21736209469502
full,armed,disease,0.2584,0.0823,0.2172,30,15,401.9668433165892,536.9496191878123,49.11524656953516,51.641112895561776
full,armed,disease,0.2495,-0.0585,0.1607,30,18,518.9221487357223,576.4831070762187,25.92683207674853,30.780782170289555
