scene,pose,class_name,base_x,base_y,base_z,trials,success,travel_min,travel_median,j1_min,j1_median
full,look,ripe,0.256,0.0812,0.3384,30,29,395.2483031828962,517.8810022318595,46.835889148533234,52.55758693159116
full,look,ripe,0.2512,0.0437,0.3612,30,26,401.417168550392,491.2968645916444,45.66029866259126,52.84241441557768
full,look,ripe,0.2536,0.0278,0.2242,30,0,,,,
full,look,ripe,0.2518,-0.0219,0.2236,30,25,445.4820427031527,560.4527747749513,32.54877277828366,45.78850150974369
full,look,disease,0.2692,0.029,0.2982,30,27,405.61773589265056,539.3684966240844,37.077905899442165,41.192414803901954
full,look,ripe,0.267,-0.0678,0.2612,30,23,425.96197441478904,559.4212083080747,14.949684004871655,20.154412057066004
full,look,ripe,0.2452,0.0869,0.2723,30,26,412.09395700791185,578.1842688807928,53.96205477227915,63.057787414442956
full,look,ripe,0.2479,-0.0165,0.1691,30,0,,,,
full,look,ripe,0.2613,0.0268,0.2645,30,25,455.57097688415087,587.696332447284,40.96184150478082,47.64076766981866
full,look,ripe,0.2682,-0.0244,0.3459,30,24,367.99209902204814,494.827676336359,26.837838922232667,32.86358251079126
full,look,ripe,0.2507,0.0669,0.3041,30,29,392.8373313715436,538.230731701087,48.65066428374507,57.427772925776466
full,look,disease,0.285,-0.0666,0.3,30,16,362.76322798743854,539.9262982535527,10.944044650186616,20.5421204243019
full,look,disease,0.2663,-0.0191,0.3061,30,26,355.1458812231202,534.3321705167357,27.19999605646994,34.70875929644387
full,look,disease,0.2584,0.0823,0.2172,30,10,489.98513977483907,630.7538194715867,48.38585688100322,51.162390311244785
full,look,disease,0.2495,-0.0585,0.1607,30,12,553.9325728362351,815.1515711423363,22.860080116527584,118.2050689555901
full,armed,ripe,0.256,0.0812,0.3384,30,27,345.3948202031305,453.30862024097394,47.079062608999145,53.66864765877197
full,armed,ripe,0.2512,0.0437,0.3612,30,28,342.48220241565195,439.5953766657598,44.81808700717439,54.28209357340651
full,armed,ripe,0.2536,0.0278,0.2242,30,0,,,,
full,armed,ripe,0.2518,-0.0219,0.2236,30,22,401.03101456697493,510.6644538557038,36.83480040062448,45.79993397348139
full,armed,disease,0.2692,0.029,0.2982,30,29,365.10191135288056,508.2870146009013,37.16964505889919,41.267237514286236
full,armed,ripe,0.267,-0.0678,0.2612,30,24,412.6583040743698,615.3513899205484,14.801497366712336,23.861224913241397
full,armed,ripe,0.2452,0.0869,0.2723,30,29,396.4277085647279,480.45883995129594,52.66658455171799,60.46966990187793
full,armed,ripe,0.2479,-0.0165,0.1691,30,0,,,,
full,armed,ripe,0.2613,0.0268,0.2645,30,29,373.29422717914673,416.97648739057877,42.30530390000448,48.69039083797758
full,armed,ripe,0.2682,-0.0244,0.3459,30,25,360.1127759284755,483.71898310621316,24.811198459826276,34.14968535774459
full,armed,ripe,0.2507,0.0669,0.3041,30,26,356.2782811632642,446.1552462276551,50.97138385742909,58.866420479600976
full,armed,disease,0.285,-0.0666,0.3,30,19,379.2656440031717,511.53097795758663,12.666474171849307,19.860567887829887
full,armed,disease,0.2663,-0.0191,0.3061,30,27,337.0263286974707,541.8094380233787,29.04669455985168,33.03806264503774
full,armed,disease,0.2584,0.0823,0.2172,30,13,421.5452680759572,544.369109989309,47.54748332124,51.24138522843506
full,armed,disease,0.2495,-0.0585,0.1607,30,12,529.8317453555777,796.5272355452928,24.762852185009468,116.86156525272207
