base_x,base_y,base_z,class_name,elev_deg,j1_max_deg,j1_mean_deg,j1_min_deg,plan_s_mean,pred_j1_deg,reason,return_travel_deg,success,travel_mean_deg,travel_sd_deg,trials
0.256,0.0812,0.3384,ripe,15.0,159.5,63.7,47.1,0.032,28.7,ok,456.0,10,456.0,66.0,10
0.2512,0.0437,0.3612,ripe,15.0,144.1,71.6,47.7,0.034,31.8,ok,335.0,10,409.0,60.0,10
0.2536,0.0278,0.2242,ripe,0.0,142.7,78.8,50.1,0.035,32.8,ok,457.0,10,567.0,98.0,10
0.2518,-0.0219,0.2236,ripe,-5.0,124.4,57.3,34.8,0.034,33.3,ok,555.0,10,518.0,72.0,10
0.2692,0.029,0.2982,disease,10.0,145.3,61.4,38.5,0.033,28.7,ok,454.0,10,461.0,71.0,10
0.267,-0.0678,0.2612,ripe,5.0,132.9,42.0,14.7,0.031,28.0,ok,440.0,10,496.0,78.0,10
0.2452,0.0869,0.2723,ripe,5.0,157.1,98.3,56.9,0.035,31.4,ok,482.0,10,443.0,75.0,10
0.2479,-0.0165,0.1691,ripe,-10.0,135.3,104.6,43.1,0.063,34.2,ok,715.0,10,691.0,94.0,10
0.2613,0.0268,0.2645,ripe,5.0,147.0,73.4,39.9,0.032,30.8,ok,410.0,10,441.0,61.0,10
0.2682,-0.0244,0.3459,ripe,15.0,138.9,62.3,24.0,0.034,28.5,ok,566.0,10,458.0,81.0,10
0.2507,0.0669,0.3041,ripe,10.0,153.1,86.3,52.7,0.036,31.2,ok,485.0,10,507.0,81.0,10
0.285,-0.0666,0.3,disease,10.0,136.2,52.8,11.1,0.036,24.8,ok,506.0,10,426.0,88.0,10
0.2663,-0.0191,0.3061,disease,10.0,135.7,42.5,29.1,0.034,29.5,ok,477.0,10,414.0,59.0,10
0.2584,0.0823,0.2172,disease,-5.0,160.4,85.7,51.5,0.036,28.9,ok,425.0,10,462.0,44.0,10
0.2495,-0.0585,0.1607,disease,-10.0,128.6,106.3,30.6,0.048,32.0,ok,702.0,10,676.0,79.0,10
