base_x,base_y,base_z,class_name,elev_deg,j1_max_deg,j1_mean_deg,j1_min_deg,plan_s_mean,pred_j1_deg,reason,return_travel_deg,success,travel_mean_deg,travel_sd_deg,trials
0.256,0.0812,0.3384,ripe,15.0,160.3,65.5,48.3,0.03,28.7,ok,259.0,10,333.0,76.0,10
0.2512,0.0437,0.3612,ripe,15.0,147.0,125.9,52.8,0.032,31.8,ok,236.0,10,294.0,73.0,10
0.2536,0.0278,0.2242,ripe,0.0,142.1,102.7,42.8,0.035,32.8,ok,498.0,10,410.0,63.0,10
0.2518,-0.0219,0.2236,ripe,-5.0,136.0,109.0,35.8,0.034,33.3,ok,333.0,10,439.0,109.0,10
0.2692,0.029,0.2982,disease,10.0,151.4,106.9,43.3,0.03,28.7,ok,478.0,10,362.0,74.0,10
0.267,-0.0678,0.2612,ripe,5.0,126.1,33.0,15.7,0.029,28.0,ok,480.0,10,423.0,79.0,10
0.2452,0.0869,0.2723,ripe,5.0,154.4,97.7,54.0,0.03,31.4,ok,482.0,10,347.0,62.0,10
0.2479,-0.0165,0.1691,ripe,-10.0,132.9,78.8,42.5,0.048,34.2,ok,498.0,10,516.0,25.0,10
0.2613,0.0268,0.2645,ripe,5.0,143.3,122.9,45.9,0.03,30.8,ok,460.0,10,342.0,43.0,10
0.2682,-0.0244,0.3459,ripe,15.0,136.4,71.6,24.9,0.029,28.5,ok,433.0,10,349.0,88.0,10
0.2507,0.0669,0.3041,ripe,10.0,156.7,112.3,50.7,0.031,31.2,ok,455.0,10,351.0,86.0,10
0.285,-0.0666,0.3,disease,10.0,137.5,64.0,14.1,0.031,24.8,ok,327.0,10,402.0,91.0,10
0.2663,-0.0191,0.3061,disease,10.0,135.9,73.6,29.2,0.031,29.5,ok,315.0,10,355.0,83.0,10
0.2584,0.0823,0.2172,disease,-5.0,161.3,83.9,49.1,0.033,28.9,ok,492.0,10,436.0,62.0,10
0.2495,-0.0585,0.1607,disease,-10.0,123.7,94.8,31.8,0.082,32.0,ok,501.0,10,532.0,23.0,10
