base_x,base_y,base_z,class_name,elev_deg,j1_max_deg,j1_mean_deg,j1_min_deg,plan_s_mean,pred_j1_deg,reason,return_travel_deg,success,travel_mean_deg,travel_sd_deg,trials
0.256,0.0812,0.3384,ripe,15.0,161.9,83.7,47.9,0.033,28.7,ok,509.0,10,526.0,75.0,10
0.2512,0.0437,0.3612,ripe,15.0,143.8,59.6,46.6,0.03,31.8,ok,411.0,10,427.0,42.0,10
0.2536,0.0278,0.2242,ripe,0.0,144.5,104.2,46.1,0.037,32.8,ok,595.0,10,558.0,98.0,10
0.2518,-0.0219,0.2236,ripe,-5.0,133.7,84.9,36.0,0.033,33.3,ok,576.0,10,547.0,100.0,10
0.2692,0.029,0.2982,disease,10.0,151.6,83.6,37.8,0.035,28.7,ok,500.0,10,504.0,85.0,10
0.267,-0.0678,0.2612,ripe,5.0,132.0,61.8,15.5,0.033,28.0,ok,496.0,10,464.0,43.0,10
0.2452,0.0869,0.2723,ripe,5.0,159.5,89.4,55.1,0.035,31.4,ok,430.0,10,509.0,82.0,10
0.2479,-0.0165,0.1691,ripe,-10.0,137.8,113.0,46.2,0.056,34.2,ok,766.0,10,733.0,89.0,10
0.2613,0.0268,0.2645,ripe,5.0,146.1,92.0,39.5,0.032,30.8,ok,446.0,10,496.0,88.0,10
0.2682,-0.0244,0.3459,ripe,15.0,37.1,29.1,23.6,0.03,28.5,ok,492.0,10,454.0,44.0,10
0.2507,0.0669,0.3041,ripe,10.0,154.3,84.4,51.0,0.034,31.2,ok,519.0,10,518.0,73.0,10
0.285,-0.0666,0.3,disease,10.0,137.6,62.9,11.6,0.034,24.8,ok,386.0,10,479.0,96.0,10
0.2663,-0.0191,0.3061,disease,10.0,132.2,41.2,29.2,0.032,29.5,ok,414.0,10,476.0,74.0,10
0.2584,0.0823,0.2172,disease,-5.0,155.7,64.3,48.0,0.034,28.9,ok,462.0,10,548.0,70.0,10
0.2495,-0.0585,0.1607,disease,-10.0,130.7,124.2,114.8,0.07,32.0,ok,751.0,10,762.0,12.0,10
