class_id,class_name,camera_x,camera_y,camera_z,base_x,base_y,base_z,base_radius,base_azimuth_deg,radius_m,confidence,count
0,ripe,-0.0525,-0.0566,0.4317,0.256,0.0812,0.3384,0.2685,17.59,0.0174,0.9334,60
0,ripe,-0.0162,-0.0793,0.4212,0.2512,0.0437,0.3612,0.255,9.88,0.0176,0.9301,60
0,ripe,0.0031,0.0565,0.435,0.2536,0.0278,0.2242,0.2551,6.26,0.0171,0.9262,60
0,ripe,0.0524,0.0566,0.4285,0.2518,-0.0219,0.2236,0.2527,-4.97,0.0179,0.9232,60
3,disease,0.0017,-0.0186,0.4436,0.2692,0.029,0.2982,0.2708,6.14,0.0172,0.9161,60
0,ripe,0.0987,0.017,0.4356,0.267,-0.0678,0.2612,0.2755,-14.25,0.0179,0.9196,60
0,ripe,-0.0576,0.0103,0.4278,0.2452,0.0869,0.2723,0.2602,19.51,0.0178,0.9213,60
0,ripe,0.0479,0.1113,0.4303,0.2479,-0.0165,0.1691,0.2484,-3.81,0.0126,0.9119,60
0,ripe,0.0038,0.0157,0.4388,0.2613,0.0268,0.2645,0.2627,5.86,0.0125,0.9032,60
0,ripe,0.0536,-0.0667,0.4329,0.2682,-0.0244,0.3459,0.2693,-5.21,0.0125,0.9022,60
0,ripe,-0.0379,-0.0222,0.4283,0.2507,0.0669,0.3041,0.2595,14.94,0.0127,0.8674,60
3,disease,0.0982,-0.0233,0.4499,0.285,-0.0666,0.3,0.2927,-13.15,0.0125,0.8647,60
3,disease,0.0491,-0.0269,0.4354,0.2663,-0.0191,0.3061,0.267,-4.1,0.0177,0.8097,60
3,disease,-0.0505,0.0638,0.4457,0.2584,0.0823,0.2172,0.2712,17.66,0.0125,0.6126,106
3,disease,0.0901,0.1189,0.4287,0.2495,-0.0585,0.1607,0.2563,-13.2,0.018,0.6439,60
