class_name,base_x,base_y,base_z,roll0_travel,roll0_j6,roll180_travel,roll180_j6,chosen_roll,saving_deg
ripe,0.256,0.0812,0.3384,518.9567698715135,177.97781376685847,324.02829958668906,12.20422863362998,180,194.9
ripe,0.2512,0.0437,0.3612,522.9800662489724,154.37281947077628,338.7366611373417,15.591004160363036,180,184.2
ripe,0.2536,0.0278,0.2242,564.470516250289,11.254336148842793,,,0,0.0
ripe,0.2518,-0.0219,0.2236,455.30764069377676,29.58014534937931,504.62124861976577,170.93536660519732,0,0.0
disease,0.2692,0.029,0.2982,520.2607044285442,168.66776705137232,409.73919647783634,5.197759513214106,180,110.5
ripe,0.267,-0.0678,0.2612,586.9751979080651,164.92644212379145,463.3094931317169,11.43117217507635,180,123.7
ripe,0.2452,0.0869,0.2723,547.84177841048,172.76583185355113,365.8867336777045,1.2818050017912397,180,182.0
ripe,0.2479,-0.0165,0.1691,,,,,,0.0
ripe,0.2613,0.0268,0.2645,375.292648631144,16.154222167785523,406.40466346224855,0.3652977367789221,0,0.0
ripe,0.2682,-0.0244,0.3459,505.3735097176766,174.7722603963367,415.8705516876048,20.46866614731019,180,89.5
ripe,0.2507,0.0669,0.3041,487.481100024292,165.94099074847392,348.8985947231179,15.613259405864163,180,138.6
disease,0.285,-0.0666,0.3,491.8002483147383,165.11248666127221,318.55625814819615,20.744368033300564,180,173.2
disease,0.2663,-0.0191,0.3061,499.31397625710247,166.57938957408433,369.91623447274253,53.73264553378896,180,129.4
disease,0.2584,0.0823,0.2172,375.21478760390374,7.087807410124228,435.84686501635906,0.4792869780927323,0,0.0
disease,0.2495,-0.0585,0.1607,490.25092783545904,118.34775259491424,,,0,0.0
