class_id,class_name,camera_x,camera_y,camera_z,base_x,base_y,base_z,base_radius,base_azimuth_deg,radius_m,confidence,count
0,ripe,-0.0103,-0.077,0.4264,0.2568,0.0389,0.3581,0.2598,8.61,0.0177,0.9416,23
0,ripe,-0.0459,-0.0551,0.4371,0.2618,0.0756,0.3361,0.2725,16.11,0.0175,0.9406,23
3,disease,0.0083,-0.0157,0.4464,0.2725,0.0231,0.2948,0.2734,4.85,0.0172,0.9388,23
0,ripe,-0.0508,0.0125,0.4297,0.2475,0.0807,0.2696,0.2603,18.07,0.0177,0.9379,23
0,ripe,0.0589,0.0598,0.428,0.2517,-0.0279,0.2201,0.2532,-6.32,0.018,0.9361,23
0,ripe,0.0068,0.0608,0.4403,0.2588,0.0252,0.2192,0.26,5.55,0.0173,0.931,23
0,ripe,0.1048,0.02,0.4372,0.269,-0.0733,0.2579,0.2788,-15.24,0.0176,0.9295,23
3,disease,0.0559,-0.0241,0.4383,0.2697,-0.0251,0.3028,0.2709,-5.32,0.0177,0.9183,23
0,ripe,0.06,-0.0644,0.4362,0.272,-0.0299,0.3429,0.2736,-6.28,0.0125,0.9091,23
0,ripe,-0.0318,-0.0202,0.432,0.2548,0.0616,0.3015,0.2622,13.6,0.0125,0.908,23
0,ripe,0.0547,0.1146,0.4321,0.25,-0.0226,0.1653,0.251,-5.17,0.0126,0.9037,23
0,ripe,0.0105,0.0181,0.4442,0.2671,0.0213,0.2613,0.268,4.55,0.0125,0.9024,23
3,disease,0.0902,0.1236,0.4262,0.2467,-0.0584,0.1561,0.2535,-13.31,0.018,0.8438,23
3,disease,-0.0445,0.0662,0.4523,0.2652,0.0774,0.2139,0.2763,16.27,0.0125,0.6184,24
3,disease,0.1045,-0.0204,0.4514,0.287,-0.0722,0.2967,0.2959,-14.11,0.0126,0.5073,38
