class_id,class_name,camera_x,camera_y,camera_z,base_x,base_y,base_z,base_radius,base_azimuth_deg,radius_m,confidence,count
0,ripe,-0.0005,0.0585,0.4341,0.252,0.0314,0.2231,0.254,7.11,0.0172,0.849,41
3,disease,-0.0434,0.0649,0.4639,0.277,0.0771,0.215,0.2875,15.55,0.0125,0.8131,41
3,disease,0.0905,-0.0194,0.4644,0.298,-0.0573,0.2958,0.3035,-10.88,0.0128,0.8079,41
0,ripe,0.0067,0.0209,0.441,0.2631,0.0244,0.2598,0.2643,5.29,0.0125,0.8213,41
0,ripe,0.0956,0.0183,0.4516,0.2823,-0.0631,0.2594,0.2893,-12.6,0.0178,0.7843,41
0,ripe,0.0466,0.1158,0.4392,0.2562,-0.0142,0.1646,0.2566,-3.16,0.0125,0.7575,41
0,ripe,-0.0493,-0.0564,0.4417,0.2659,0.0792,0.338,0.2774,16.58,0.0177,0.7659,41
0,ripe,-0.0385,-0.0209,0.4471,0.2688,0.0694,0.3019,0.2776,14.47,0.0128,0.7494,41
0,ripe,-0.0119,-0.0781,0.4324,0.2622,0.0407,0.3595,0.2654,8.83,0.018,0.7244,41
0,ripe,0.0032,-0.0157,0.4442,0.2694,0.0277,0.296,0.2708,5.88,0.0175,0.7124,41
3,disease,0.0835,0.1245,0.4389,0.2585,-0.0508,0.1551,0.2634,-11.12,0.018,0.6741,41
0,ripe,0.042,-0.0237,0.444,0.2737,-0.0111,0.3031,0.2739,-2.32,0.0125,0.6767,41
0,ripe,-0.2279,0.1598,0.524,0.3101,0.2678,0.1192,0.4097,40.82,0.0125,0.4208,2
